FigFam	description	X188.non.day.5	X190.non.day.5	X191.non.day.5	X193.non.day.5	X196.non.day.5	X197.non.day.5	X187.carb.day.5	X189.carb.day.5	X192.carb.day.5	X194.carb.day.5	X195.carb.day.5	X198.carb.day.5	Pvalues	Qvalues	fold_change	
FIG01464497_Alpha-rhamnosidase_	FIG01464497	Alpha-rhamnosidase_	0	0	1	1.6	0	0	0	1.6	0	0	0	1.4	1	0.980600559	1.153846154
FIG00896454_putative_FtsX-related_transmembrane_transport_protein_	FIG00896454	putative_FtsX-related_transmembrane_transport_protein_	3.2	6.8	8	12.4	2.1	5.4	7.7	6.5	7.1	14.6	1.7	6.5	0.787824134	0.966524178	1.163588391
FIG01316038_transposase_	FIG01316038	transposase_	498.2	582.6	1246.1	1313.4	343	694	895.4	959.5	1182.5	1243.9	1060.1	556.8	0.497096893	0.943069661	1.261026661
FIG00001859_NAD(P)HX_dehydratase_	FIG00001859	NAD(P)HX_dehydratase_	16.5	17.8	1	6.3	19	1.2	12.6	8.1	8.5	36.7	3.4	7.8	0.722554846	0.965779454	1.247572816
FIG00939827_FIG00939828:_hypothetical_protein_	FIG00939827	FIG00939828:_hypothetical_protein_	1.1	0	0	0	0	0	5.6	3.3	0	0	0	0	0.081668519	0.811570676	8.090909091
FIG00021484_Metallo-beta-lactamase_superfamily_domain_protein_in_prophage_	FIG00021484	Metallo-beta-lactamase_superfamily_domain_protein_in_prophage_	8.5	1	2	9.3	4.2	3.6	1.4	4.1	10.6	80.7	1.6	1.4	0.106250666	0.842350042	3.48951049
FIG00937829_FIG00937831:_hypothetical_protein_	FIG00937829	FIG00937831:_hypothetical_protein_	448.6	350.8	142.8	495.8	477.4	56.6	580.6	587.3	1295.2	400	449.6	337.9	0.132960315	0.867609808	1.851217039
FIG00229272_Protein-export_membrane_protein_SecD_(TC_3.A.5.1.1)_/_Protein-export_membrane_protein_SecF_(TC_3.A.5.1.1)_	FIG00229272	Protein-export_membrane_protein_SecD_(TC_3.A.5.1.1)_/_Protein-export_membrane_protein_SecF_(TC_3.A.5.1.1)_	14438.8	1437	3348.8	5119.4	1902.8	992.4	4969.5	5392.4	5130.3	4609.2	3748.7	1452.7	0.850494345	0.973255585	-1.07652908
"FIG01316807_ABC-type_multidrug/protein/lipid_transport_system,_membrane_ATPase_component_"	FIG01316807	"ABC-type_multidrug/protein/lipid_transport_system,_membrane_ATPase_component_"	0	0.3	5	3.1	8.5	18.4	3.5	2.5	9.2	7.3	2.5	7.9	0.936881856	0.978480349	-1.072948328
"FIG00517123_putative_transporter,_trans-membrane_domain_bacteriocin_immunity_protein_"	FIG00517123	"putative_transporter,_trans-membrane_domain_bacteriocin_immunity_protein_"	0.5	0	0	3.9	0	0	0.7	0	0.7	11	0	0	0.288516388	0.926802039	2.818181818
FIG00529158_FIG00529162:_hypothetical_protein_	FIG00529158	FIG00529162:_hypothetical_protein_	78.7	45.1	125	53	43.3	67.3	28.7	76.7	124	62.3	32.6	15.8	0.683610218	0.964139669	-1.212584534
FIG00006706_Protein_of_unknown_function_identified_by_role_in_sporulation_(SpoVG)_	FIG00006706	Protein_of_unknown_function_identified_by_role_in_sporulation_(SpoVG)_	836.3	1011	5530.7	1405.6	5068.2	1680.6	1609.6	1101.1	4294.1	1663.4	900.6	968.3	0.321320547	0.926802039	-1.474067818
FIG00136036_Betaine_reductase_component_B_alpha_subunit_(EC_1.21.4.4)_	FIG00136036	Betaine_reductase_component_B_alpha_subunit_(EC_1.21.4.4)_	8.5	3.8	14	9.4	8.5	1.7	14	8.9	32.6	32.9	3.3	2.1	0.254020144	0.924653551	2.043572985
